CleanName,INorEX,label,Method,replicateID,timepoint,nM
cysteate,EX,20B,AN,B,20,0.102477568
cysteate,EX,20A,AN,A,20,5.420508597
cysteate,EX,38B,AN,B,38,5.027170551
cysteate,EX,38A,AN,A,38,5.609713992
cysteate,EX,38C,AN,C,38,9.250685855
cysteate,EX,42C,AN,C,42,3.685944929
cysteate,EX,42A,AN,A,42,4.471552953
cysteate,EX,42B,AN,B,42,3.976530245
cysteate,EX,14A,AN,A,14,1.045135854
cysteate,EX,14B,AN,B,14,4.039713884
cysteate,EX,14C,AN,C,14,2.175693869
cysteate,EX,10B,AN,B,10,1.3454159
cysteate,EX,10C,AN,C,10,3.52420337
cysteate,EX,10A,AN,A,10,2.569577908
cysteate,EX,26C,AN,C,26,1.380173075
cysteate,EX,26B,AN,B,26,4.866946202
cysteate,EX,26A,AN,A,26,4.898018442
cysteate,EX,18B,AN,B,18,3.108520988
cysteate,EX,18A,AN,A,18,5.510515621
cysteate,EX,18C,AN,C,18,2.24592508
cysteate,EX,36A,AN,A,36,2.639044475
cysteate,EX,36B,AN,B,36,4.942009575
cysteate,EX,36C,AN,C,36,4.859417717
cysteate,EX,30A,AN,A,30,1.274694183
cysteate,EX,30C,AN,C,30,1.608977896
cysteate,EX,30B,AN,B,30,0.102477568
cysteate,EX,40B,AN,B,40,4.832239171
cysteate,EX,40C,AN,C,40,4.703465884
cysteate,EX,40A,AN,A,40,6.028418161
cysteate,EX,28B,AN,B,28,5.956318411
cysteate,EX,28A,AN,A,28,2.574255895
cysteate,EX,28C,AN,C,28,6.062909087
n_acetylglutamic_acid,EX,4A,AN,A,4,1.811592434
n_acetylglutamic_acid,EX,4B,AN,B,4,1.903889912
n_acetylglutamic_acid,EX,4C,AN,C,4,1.558500276
n_acetylglutamic_acid,EX,32C,AN,C,32,3.835286481
n_acetylglutamic_acid,EX,32A,AN,A,32,3.401247145
n_acetylglutamic_acid,EX,32B,AN,B,32,4.194213574
n_acetylglutamic_acid,EX,24A,AN,A,24,2.272716048
n_acetylglutamic_acid,EX,24B,AN,B,24,2.686066152
n_acetylglutamic_acid,EX,24C,AN,C,24,2.419107902
n_acetylglutamic_acid,EX,16A,AN,A,16,2.275393316
n_acetylglutamic_acid,EX,16C,AN,C,16,2.292566145
n_acetylglutamic_acid,EX,16B,AN,B,16,2.350202176
n_acetylglutamic_acid,EX,22C,AN,C,22,1.880320479
n_acetylglutamic_acid,EX,22B,AN,B,22,2.650673644
n_acetylglutamic_acid,EX,22A,AN,A,22,2.529357868
n_acetylglutamic_acid,EX,2C,AN,C,2,1.160246332
