ids,growth,status,essential_in_model,locus_tag_from_mut_lib
TK37_RS14500,1.0101606269715917,optimal,False,MIT1002_00538
TK37_RS07990,-5.1137453117702926e-17,optimal,True,MIT1002_03505
TK37_RS02500,0.0,optimal,True,MIT1002_00952
TK37_RS15600,0.0,optimal,True,MIT1002_00385
TK37_RS05520,1.0026378707138988,optimal,False,MIT1002_01656
TK37_RS10075,1.0101810363924466,optimal,False,MIT1002_04152
TK37_RS03035,1.010181036392445,optimal,False,MIT1002_03089
TK37_RS05235,1.010181036392445,optimal,False,MIT1002_04057
TK37_RS16350,-9.024121439427854e-16,optimal,True,MIT1002_02184
TK37_RS15965,1.0101810363924562,optimal,False,MIT1002_01949
TK37_RS00955,0.0,optimal,True,MIT1002_03816
TK37_RS17260,1.0101810363924455,optimal,False,MIT1002_03758
TK37_RS10080,1.010181036392445,optimal,False,
TK37_RS15160,1.0101810363924488,optimal,False,MIT1002_03297
TK37_RS01135,2.96985089161417e-15,optimal,True,MIT1002_03780
TK37_RS12815,1.0101810363924524,optimal,False,MIT1002_01112
TK37_RS00095,1.0101810363924375,optimal,False,MIT1002_03989
TK37_RS01355,-1.1404108222956495e-16,optimal,True,
TK37_RS04040,1.1142695059841822e-13,optimal,True,MIT1002_00860
TK37_RS11370,1.010181036392447,optimal,False,MIT1002_01137
TK37_RS12495,1.0101810363924375,optimal,False,MIT1002_02973
TK37_RS16040,-7.827176952211253e-18,optimal,True,MIT1002_02654
TK37_RS03130,1.010181036392452,optimal,False,MIT1002_03069
TK37_RS18475,-7.117385757761316e-16,optimal,True,MIT1002_02778
TK37_RS15610,0.0,optimal,True,MIT1002_00383
TK37_RS10715,0.0,optimal,True,MIT1002_00054
TK37_RS14950,1.0101810363924426,optimal,False,MIT1002_04027
TK37_RS08580,2.5405192808638043e-16,optimal,True,MIT1002_00159
TK37_RS08785,1.0101810363924473,optimal,False,MIT1002_00117
TK37_RS01715,1.0101810363924433,optimal,False,MIT1002_01287
TK37_RS17010,-4.692712430753014e-16,optimal,True,MIT1002_01736
TK37_RS19130,1.0101810363924446,optimal,False,MIT1002_02433
TK37_RS19575,2.5405192808638043e-16,optimal,True,MIT1002_03109
TK37_RS15970,1.0101810363924513,optimal,False,MIT1002_01948
TK37_RS19790,1.0101810363924433,optimal,False,MIT1002_01711
TK37_RS10525,3.4106083095922357e-16,optimal,True,MIT1002_00268
TK37_RS04060,0.9505699520594468,optimal,False,MIT1002_00864
TK37_RS12985,1.010181036392449,optimal,False,MIT1002_01077
TK37_RS15835,1.0101810363924384,optimal,False,MIT1002_02080
TK37_RS18850,1.0101810363924384,optimal,False,MIT1002_01534
TK37_RS04945,0.4603218273606099,optimal,False,MIT1002_04116
TK37_RS04425,1.010181036392445,optimal,False,MIT1002_02013
TK37_RS10495,1.0101810363924544,optimal,False,MIT1002_00274
TK37_RS12600,1.0072975264885586,optimal,False,MIT1002_02831
TK37_RS16150,-5.387317601086307e-16,optimal,True,MIT1002_02632
TK37_RS08145,1.0101810363924448,optimal,False,MIT1002_00700
TK37_RS17390,1.0101810363924413,optimal,False,MIT1002_00435
TK37_RS19750,1.2544902044208873e-15,optimal,True,MIT1002_00423
TK37_RS05685,1.0101810363924293,optimal,False,MIT1002_01689
TK37_RS06765,1.0101810363927737,optimal,False,MIT1002_03621
TK37_RS12310,1.0101810363924386,optimal,False,MIT1002_02937
TK37_RS17360,1.0068549210887126,optimal,False,MIT1002_00441
TK37_RS00735,1.010181036388809,optimal,False,MIT1002_03861
TK37_RS16730,-1.0237416975576996e-17,optimal,True,MIT1002_01867
TK37_RS04735,1.009847785756368,optimal,False,MIT1002_00026
TK37_RS11955,1.0101810363924455,optimal,False,MIT1002_01884
TK37_RS00325,1.0101810363924486,optimal,False,MIT1002_03943
TK37_RS17025,5.1620851804233145e-17,optimal,True,MIT1002_01739
TK37_RS12045,1.01018103639245,optimal,False,MIT1002_01904
TK37_RS03715,1.0101810363924415,optimal,False,MIT1002_00794
TK37_RS05460,1.0101810363924415,optimal,False,MIT1002_01644
TK37_RS15990,0.955654053680121,optimal,False,MIT1002_01944
TK37_RS11915,1.01018103639243,optimal,False,MIT1002_01876
TK37_RS16680,-2.865229255322182e-16,optimal,True,MIT1002_01857
TK37_RS20130,-3.2898435101022707e-15,optimal,True,MIT1002_02524
TK37_RS01435,1.0101810363924386,optimal,False,MIT1002_01230
TK37_RS12160,-4.169413919797781e-16,optimal,True,MIT1002_01928
TK37_RS05595,1.0101810363924573,optimal,False,MIT1002_01671
TK37_RS11825,1.0101810363924408,optimal,False,
TK37_RS15975,0.9556540536810748,optimal,False,MIT1002_01947
TK37_RS04935,0.4603218273606383,optimal,False,MIT1002_04118
TK37_RS07245,-1.4991856889553583e-16,optimal,True,MIT1002_01425
TK37_RS10920,0.0,optimal,True,MIT1002_00095
TK37_RS09130,1.010181036392443,optimal,False,MIT1002_02860
TK37_RS12810,2.2194740758273505e-14,optimal,True,MIT1002_01113
TK37_RS04130,1.0101810363924604,optimal,False,MIT1002_00878
TK37_RS07005,1.0101810363924328,optimal,False,MIT1002_01474
TK37_RS06610,0.0,optimal,True,MIT1002_03590
TK37_RS10590,1.010181036392442,optimal,False,MIT1002_00252
TK37_RS02670,1.0101810363924328,optimal,False,MIT1002_00986
TK37_RS14860,-5.382391670648213e-15,optimal,True,MIT1002_04045
TK37_RS12090,1.0101810363924224,optimal,False,
TK37_RS13690,4.122361005877932e-17,optimal,True,MIT1002_02134
TK37_RS11015,1.0101810363924515,optimal,False,MIT1002_02404
TK37_RS13185,1.0101810363924328,optimal,False,
TK37_RS17790,1.0101810363924328,optimal,False,MIT1002_01599
TK37_RS18295,1.0101810363924328,optimal,False,MIT1002_00371
TK37_RS19905,-6.900792623434062e-17,optimal,True,MIT1002_01705
